bathrooms,bathroomsShared
1.5,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
1.5,1
1,0
1,0
1,1
1,1
1,0
1,0
1.5,1
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
2.5,0
2,1
1,1
1,1
1,1
1,0
1,0
1,0
1,1
1,1
2.5,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1.5,0
3,0
1,1
1,0
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
2,1
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
2,0
1,0
2.5,0
1,0
1,1
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1.5,1
1,0
1,0
1,0
1,1
1,0
2,0
1,0
2,0
1.5,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1.5,1
1,0
1,0
1,1
1.5,0
1,1
1,0
1,0
2,0
1,1
1,0
1,0
1,0
1,1
1.5,0
1,0
1.5,0
1,1
1,1
1.5,0
1,1
1,0
1,0
1,1
1.5,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1.5,0
1,0
1,0
2,0
1,0
1.5,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
2.5,0
2.5,0
1.5,1
1,0
1.5,0
1,1
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,1
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,1
1,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1.5,0
1,0
1,1
1,1
1,0
1,1
1,0
1,0
2,0
1,1
1,1
3,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,0
1,0
1,0
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1.5,0
1,1
1,0
1,0
1,1
1,0
1.5,1
1,0
1,1
1,0
1,0
1,0
1.5,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2.5,0
1,0
1,0
1,0
1,0
2.5,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1.5,1
4,0
1,0
1,0
1,0
1,0
1,1
1,0
1.5,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,1
2,0
1,0
2,0
1,0
1,0
3,0
2.5,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
5.5,0
1,0
3.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
2,0
1,0
1.5,1
1,0
1,0
1,1
1,1
1,0
1,1
1,0
1,0
1,0
2.5,0
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2.5,0
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
2,0
1,0
1,1
3,0
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,1
2,0
1,0
2.5,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
2.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
2,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
2.5,0
1.5,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,1
2,0
1,1
2,1
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
2,0
2,0
1,1
1,0
3.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,1
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2.5,0
1,0
1,0
1,0
2,0
1,0
1,1
1,0
1,0
H,0
2,0
1.5,1
1,0
1,0
1,0
1,0
1,0
4,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,1
1.5,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1.5,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
3,0
1,0
1,0
1,1
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
3,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
?,?
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1.5,0
1,0
2,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
2,0
0,1
1,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1.5,0
2.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
?,?
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
1,0
1,0
1,0
1,1
2,0
2,1
1,0
2,0
1,0
1,0
1,0
2,0
0,1
1.5,1
1,0
2,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1.5,0
1,0
1,0
1,0
1,0
?,?
1,0
0,0
1.5,0
1,1
1,0
1,0
1,0
1.5,0
1,0
1,0
1.5,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,1
1,1
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,1
1,0
1,1
1,1
2,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1.5,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2.5,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,1
1,1
1,0
1,0
2,0
2,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
3.5,0
1,0
1,1
1.5,0
1,0
1,1
1,1
1,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2.5,0
1,0
1,0
2,0
1,0
1,0
1.5,0
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
2,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1.5,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3.5,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,1
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1.5,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1.5,0
1,0
1,0
2,1
1,0
1,0
2,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
2,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,0
1,1
1.5,0
1,0
2,0
1,0
1,0
2,0
2,0
2,0
1,0
1.5,0
1,0
1,0
1,1
1,1
2,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1.5,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
2,0
1,0
2,0
1,1
1,0
1,1
1,1
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
2,0
2,0
1,0
1,0
1.5,0
1,0
1,0
1,1
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
2.5,0
2,0
1,0
1,1
1,0
1,1
2.5,0
1,0
1,0
1,0
1.5,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,1
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
2,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1.5,1
1,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2.5,0
1,0
1,0
1,0
1.5,0
2,0
2,0
1,1
1.5,0
1,0
2,0
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
2,1
2,1
2,1
2.5,1
2,1
2,1
1,1
1,0
1,0
1,1
1,1
1,0
1,0
1,1
2,0
1,0
1,0
1,0
2,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1.5,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
H,0
1,0
1,0
1,0
1.5,1
1,1
1,0
1,0
1,1
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
2,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
2,0
1,1
1,0
1,0
1,0
1,1
3,0
1,0
1,1
1,0
2.5,0
1,0
1,1
1,0
1,0
1,0
1.5,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,1
1,0
1,0
1,0
3.5,0
1,0
1,0
1,1
1,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
2.5,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,1
2,1
1,0
2,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1.5,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
2,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,1
1,1
1,0
1,0
1,0
1,0
1,1
2,0
1,1
1,0
1,0
1,0
0,0
1,0
2.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
2,0
1,1
1,0
1,0
2,0
1.5,1
1,0
2,0
1,0
1,0
3,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,0
2,0
1,0
1,0
2,0
1,1
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
?,?
1,0
1,0
1,1
1,0
1,0
1.5,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1.5,0
1.5,0
0,0
1,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1.5,1
2,0
1,1
1,0
1.5,0
1,0
2,1
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1.5,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
3,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,1
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1.5,0
2,0
1,0
1,1
2,0
1,1
1,0
1,0
1,0
1,0
4,0
1,0
0,1
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
0,0
1.5,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,1
1,1
1,1
1,1
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1.5,1
1,0
1,0
1,0
1,1
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
2,0
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
2.5,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
4,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
2.5,0
1,0
1,1
1,0
1,0
1,0
1.5,0
1,0
2,0
1,0
1,0
1,1
1,1
1,0
2,0
1,0
1,0
1,0
1.5,0
1,0
1,0
4.5,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
2.5,0
1,0
2,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1.5,0
1,1
1,0
1,0
1.5,0
2,0
2,0
1,0
1,0
1,0
1,0
1,1
1,0
H,0
1,0
4,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
2,0
1.5,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1.5,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
2,0
1,0
1,1
1,1
1,0
1,1
1.5,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
2,0
H,0
1,0
1,0
2,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
2.5,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
2.5,0
1,0
1,1
1,0
3,0
1.5,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
H,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1.5,0
1,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
2,0
3,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1.5,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
2,0
1,0
1,0
2.5,0
1,0
1,0
2.5,0
1,0
1.5,0
2.5,1
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
2,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1.5,0
1,0
1,1
1,0
1,0
1,0
2,0
1,1
1,0
1,0
1,1
1,1
1,1
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2.5,0
1.5,0
1,0
2,0
1,0
1,1
2.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1.5,0
2,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
2,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1.5,0
3,0
1,1
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
2.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1.5,0
1,0
1,1
1,0
1,0
2,0
1,0
1,1
1.5,0
1,0
1,0
2,0
1,1
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1.5,0
2,0
1,1
1,1
1,0
1,0
1,0
1,1
1,0
2,0
1,0
2,0
1,0
1,0
1,1
1,0
1,1
1,1
2,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
2.5,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
3.5,0
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1.5,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
3,0
1,1
1,0
1,0
1,0
1,1
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,1
1,1
2,0
1,0
2,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2.5,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
2,0
1,1
1.5,1
1,1
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,0
1,0
1,0
1,0
3.5,0
1,0
1,0
1,0
1,0
1,1
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,1
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
2,0
1,0
1,0
2,0
1,0
1.5,0
1,1
1,1
1,0
2,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1.5,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,1
1,0
1,0
3,0
1,0
1,0
2,0
1,1
1,0
1,0
1,0
2,0
1,0
3,0
1,0
1,0
2,1
1,1
1,0
1.5,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,1
1.5,0
1.5,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
3,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,1
2.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,1
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,1
1,1
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1.5,0
1,0
1,0
1.5,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1.5,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1.5,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
